DBN,School,NumberStudents,ReadingMean,MathMean,WritingMean
1,Henry Street School for International Studies ,31,391,425,385
1,University Neighborhood High School ,60,394,419,387
1,East Side Community High School ,69,418,431,402
1,SATELLITE ACADEMY FORSYTH ST ,26,385,370,378
1,Lower East Side Preparatory High School ,154,314,532,314
1,"New Explorations into Sci, Tech and Math HS ",47,568,583,568
1,CASCADES HIGH SCHOOL ,35,411,401,401
1,BARD HIGH SCHOOL EARLY COLLEGE ,138,630,608,630
2,AMERICAN SIGN LANG ENG DUAL ,11,405,415,385
2,FOOD AND FNANCE HIGH SCHOOL ,50,422,412,407
2,HIGH SCHOOL FOR HIST AND COMM ,51,382,364,366
2,High School of Hospitality Management ,43,397,415,391
2,PACE HIGH SCHOOL ,71,424,448,423
2,Urban Assembly School of Design and Construction ,49,405,446,415
2,The Facing History School ,59,381,373,377
2,Urban Assembly Academy of Government and Law ,48,411,406,411
2,LOWER MANHATTAN ARTS ACADEMY ,35,409,381,412
2,The James Baldwin School ,45,421,419,394
2,Urban Assembly School of Business for Young Women ,52,401,409,391
2,GRAMERCY ARTS HIGH SCHOOL ,49,395,376,386
2,HIGH SCHOOL ENVRNMNTL STUDIES ,216,465,480,448
2,Institute for Collaborative Education ,42,484,478,472
2,Professional Performng Arts School ,69,495,465,499
2,Baruch College Campus High School ,96,523,583,528
2,New York City Laboratory School Collab Studies ,108,561,597,567
2,SCHOOL OF THE FUTURE ,79,475,488,466
2,NEW YORK CITY MUSEUM SCHOOL ,90,454,448,435
2,ELEANOR ROOSEVELT HIGH SCHOOL ,122,555,596,567
2,Millennium High School ,140,512,554,523
2,LANDMARK SCHOOL ,47,369,370,359
2,HIGH SCHOOL HLTH PROF HUMAN ,250,446,458,440
2,HIGH SCHOOL LEADERSHIP PUB SVC ,74,419,429,406
2,LEGACY SCH INTEGRATED STUDIES ,31,379,356,354
2,MANHATTAN VILLAGE ACADEMY ,90,465,479,472
2,Bayard Rustin High School Humanities ,136,387,394,379
2,VANGUARD HIGH SCHOOL ,54,367,395,373
2,MANHATTAN INTERNATIONAL HIGH SCHOOL ,31,418,463,415
2,WASHINGTON IRVING HIGH SCHOOL ,163,381,385,368
2,STUYVESANT HIGH SCHOOL ,804,674,735,678
2,HS of Economics And Finance ,147,451,503,453
2,UNITY HIGH SCHOOL ,31,371,369,368
2,TALENT UNLIMITED HIGH SCHOOL ,124,465,454,461
2,MURRY BERGTRAUM HIGH SCHOOL ,287,411,439,396
2,Jacqueline Kennedy Onassis High School ,88,420,424,398
2,NEW YORK CITY PUB SCH REP COMP ,32,415,405,397
2,MANHATTAN BRIDGE HIGH SCHOOL ,31,345,380,325
2,NEW DESIGN HIGH SCHOOL ,74,390,385,387
2,INDEPENDENCE HIGH SCHOOL ,16,404,419,395
2,Dual Language and Asian Studies High School ,47,416,612,419
2,Liberty High School Academy for Newcomers ,32,343,465,362
2,New York Harbor High School ,54,372,369,368
2,City as School ,57,468,441,434
2,URBAN ACADEMY ,34,513,460,502
2,Satellite Academy High School ,16,400,336,376
2,Manhattan Comprehensive Night Day High School ,141,355,475,339
2,Richard R Green High School of Teaching ,79,425,429,
2,HARVEY MILK SCHOOL ,11,429,382,416
2,HIGH SCHOOL FASHION INDUSTRIES ,301,419,420,413
2,HUMANITIES PREPARATORY ACADEMY ,37,433,405,417
2,Chelsea Career and Technical Education High School ,61,393,412,376
2,NORMAN THOMAS HIGH SCHOOL ,152,378,387,370
2,HS of Graphic Commnctn And Art ,125,370,378,360
2,HIGH SCHOOL OF ART AND DESIGN ,212,427,423,418
2,LIFE SCIENCES SECONDARY SCHOOL ,71,399,389,383
2,SCHOOL FOR THE PHYSICAL CITY ,14,382,404,359
3,MANHATTAN THEATRE LAB HIGH SCHOOL ,23,406,378,391
3,"High School For Arts, Imagination And Inquiry ",57,364,378,357
3,Urban Assembly School For Media Studies ,53,374,363,377
3,WADLEIGH SECONDARY SCHOOL ,68,376,373,371
3,LOUIS D BRANDEIS HIGH SCHOOL ,170,357,357,345
3,BEACON SCHOOL ,237,573,563,575
3,LAGUARDIA HIGH SCH MUSIC ART ,594,558,555,567
3,Martin Luther King Jr HS Arts and Technology ,60,407,425,397
3,Edward A. Reynolds West Side High School ,18,410,407,388
3,MANHATTAN/HUNTER COLL HS SCI ,80,481,525,469
3,FREDERICK DOUGLAS ACADEMY II ,33,414,410,406
4,COALITION SCH SOCIAL CHANGE ,39,390,372,383
4,Manhattan Center for Science and Math ,312,485,531,475
4,PARK EAST HIGH SCHOOL ,46,360,374,362
4,CENTRAL PARK SECONDARY SCHOOL ,35,362,378,356
4,YOUNG WOMEN LEADERSHIP SCHOOL ,48,451,445,470
4,Academy of Environment Science Secondary School ,39,380,385,354
4,HERITAGE SCHOOL ,47,369,385,361
4,URBAN PEACE ACADEMY ,23,366,382,362
5,HARLEM RENAISSANCE HIGH SCHOOL ,19,402,394,367
5,MOTT HALL HIGH SCHOOL ,63,424,421,410
5,URBAN ASSEMBLY SCHOOL FOR THE PERFORMIN ,34,349,370,363
5,CHOIR ACADEMY OF HARLEM ,16,420,369,401
5,FREDERICK DOUGLASS ACADEMY ,216,465,481,466
5,THURGOOD MARSHALL ACADEMY ,52,423,434,
5,Bread & Rose Intergrated Arts High School ,54,364,378,359
5,High School For Math Science Engineering City Coll ,106,592,627,575
6,HIGH SCHOOL FOR INTL BUS/FIN ,56,383,384,379
6,HS for Media and Communications-George Washingto ,75,366,376,353
6,High School for Law and Public Service ,106,388,388,378
6,HIGH SCHOOL FOR HLTH CARER/SER ,28,385,417,373
6,A Philip Randolph Campus High School ,193,436,451,421
6,GREGORIO LUPERON PREP SCHOOL ,60,342,384,333
7,SOUTH BRONX PREPARATORY ,60,399,393,382
7,INTERNATIONAL COMMUNITY HIGH SCHOOL ,33,322,335,327
7,BRONX HAVEN HIGH SCHOOL ,15,335,342,372
7,Community High School Social Justice ,50,372,351,359
7,Mott Haven Village Preparatory High School ,48,345,352,349
7,UNIVERSITY HEIGHTS HIGH SCHOOL ,66,401,388,396
7,HOSTOS-LINCOLN ACADEMY SCIENCE ,62,460,455,457
7,FOREIGN LANGUAGE ACADEMY ,73,418,429,415
7,Bronx Leadership Academy II High School ,55,377,381,379
7,NEW EXPLORERS HIGH SCHOOL ,36,382,376,376
7,Urban Assembly School for Careers in Sports ,58,381,423,384
7,Bronx Academy of Letters ,51,416,406,435
7,ALFRED E SMITH HIGH SCHOOL ,53,367,372,354
7,Samuel Gompers Vocational Technical High School ,105,370,385,
7,Health Opportunities High School ,81,400,391,387
8,YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP ,56,395,407,388
8,Renaissance High School Music Theater T ,47,389,375,375
8,Gateway School for Environmental Research & Tech ,31,377,367,368
8,Pablo Neruda Academy Architecture & World Studies ,54,359,358,338
8,MILLENNIUM ART ACADEMY ,41,380,389,371
8,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY ,34,374,362,366
8,BRONX COMMUNITY HIGH SCHOOL (X377) ,10,416,393,414
8,HERBERT H LEHMAN HIGH SCHOOL ,448,414,433,397
8,YABC AT HERBERT H. LEHMAN HIGH SCHOOL ,8,358,343,385
8,The Bronx Guild High School ,36,381,361,352
8,Felisa Rincon de Gautier Inst for Law & Pub Policy ,43,373,376,367
8,BANANA KELLY HIGH SCHOOL ,48,377,382,368
8,HIGH SCHOOL CMTY RESEARCH LRN ,29,356,376,368
8,BRONX ACADEMY HIGH SCHOOL ,19,373,354,364
8,Jane Addams Vocational High School ,152,370,377,363
9,Bronx Expeditionary Learning High School ,46,371,358,343
9,Eagle Academy for Young Men ,66,391,399,386
9,Urban Assembly Academy History & Citizenship ,22,359,380,371
9,EXIMIUS COLLEGE PREP ACADEMY ,44,401,383,387
9,MOTT HALL BRONX HIGH SCHOOL ,63,395,398,399
9,Bronx Center for Science and Mathematics ,73,447,495,454
9,VALIDUS PREPARATORY ACADEMY ,90,359,347,356
9,LEADERSHIP INSTITUTE ,21,362,380,358
9,MORRIS ACADEMY FOR COLLABORATIVE STUDIE ,22,388,352,378
9,DREAMYARD PREPARATORY SCHOOL ,46,394,404,389
9,Bronx International High School ,37,335,335,340
9,HIGH SCHOOL FOR EXCELLENCE ,32,366,373,371
9,BRONX HIGH SCHOOL OF BUSINESS ,35,369,397,
9,HIGH SCHOOL MEDICAL SCIENCES ,98,423,450,435
9,Jonathan Levin HS for Media and Communications ,81,347,353,351
9,BRONX SCH LAW GOVMT & JUSTICE ,87,413,390,420
9,Frederick Douglass Academy III Secondary School ,44,399,414,406
9,Bronx Leadership Academy High School ,116,402,397,396
9,HIGH SCHOOL VIOLIN AND DANCE ,26,332,379,337
10,RIVERDALE KINGSBRIDGE ACADEMY ,101,475,479,470
10,BRONX ENGINEERING & TECH ACADEMY ,36,374,402,364
10,Theatre Arts Production Company School ,53,382,375,363
10,"Marie Curie HS for Nur, Med and Allied Health Prof ",48,373,358,366
10,WEST BRONX ACADEMY FOR FUTURE ,32,365,382,375
10,Kingsbridge International High School ,40,313,316,296
10,BRONX SCHOOL OF LAW & FINANCE ,54,404,397,383
10,Providing Urban Learners Success in Education HS ,10,349,346,364
10,International School of Liberal Arts ,46,333,336,285
10,Information Technology Academy ,56,418,411,398
10,HIGH SCHOOL TEACHING PROFESSNS ,50,386,385,381
10,Belmont Preparatory High School ,65,358,370,346
10,Fordham High School for the Arts ,42,377,375,375
10,Fordham Leadership Academy for Business Technolog ,71,375,385,373
10,Bronx High School of Law and Community Service ,57,389,400,382
10,DeWitt Clinton High School ,438,425,440,417
10,BRONX HIGH SCHOOL OF MUSIC ,38,421,432,439
10,BRONX HIGH SCHOOL OF SCIENCE ,683,632,685,643
10,JOHN F KENNEDY HIGH SCHOOL ,87,364,375,358
10,MARBLE HILL SCH INTL STUDIES ,70,406,429,403
10,YABC AT JOHN F. KENNEDY HIGH SCHOOL ,12,389,383,364
10,BRONX THEATER HIGH SCHOOL ,50,406,389,388
10,DISCOVERY HIGH SCHOOL ,31,340,340,351
10,Grace Dodge Vocational High School ,93,380,385,369
10,YABC AT GRACE DODGE HIGH SCHOOL ,13,367,378,358
10,HS of American Studies at Lehman College ,74,635,630,619
11,Bronx Health School High School 11x249 ,52,363,366,
11,High School For Writing & Communication Arts ,57,393,363,387
11,BRONX LAB SCHOOL ,70,356,370,355
11,Academy for Scholarship and Entrepreneurship ,37,373,376,362
11,High School of Computers and Technology ,56,399,402,373
11,Columbus Institute for Math and Science ,90,432,464,424
11,BRONX ACAD OF HEALTH CAREERS ,46,369,363,380
11,ASTOR COLLEGIATE ACADEMY ,38,404,400,388
11,Christopher Columbus High School ,114,354,373,350
11,Bronx High School for the Visual Arts ,54,419,403,392
11,EVANDER CHILDS HIGH SCHOOL ,7,344,306,350
11,HARRY S TRUMAN HIGH SCHOOL ,201,380,384,379
11,NEW WORLD HIGH SCHOOL ,43,331,384,341
11,Bronxwood Peparatory Academy ,21,359,389,350
11,GLOBAL ENTERPRISE HIGH SCHOOL ,43,372,359,373
11,PELHAM PREPARATORY ACADEMY ,92,427,416,424
11,High School for the Contemporary Arts ,40,359,340,338
11,BRONX AEROSPACE HIGH SCHOOL ,47,393,395,389
12,NEW DAY ACADEMY ,24,368,349,358
12,METROPOLITAN HIGH SCHOOL ,42,340,361,335
12,EXPLORATIONS ACADEMY ,34,364,364,344
12,Bronx High School Performance & Stage ,41,383,360,387
12,EAST BRONX ACADEMY FOR THE FUTURE ,22,415,390,397
